,Alakazam Dudunsparce,Ceruledge,Charizard Noctowl,Charizard Pidgeot,Crustle,Cynthia's Garchomp,Dragapult Charizard,Dragapult Dusknoir,Dragonite Eelektrik,Festival Lead,Flareon Noctowl,Froslass Munkidori,Gardevoir,Gardevoir Jellicent,Gholdengo Lunatone,Greninja,Grimmsnarl Froslass,Iron Hands Magneton,Joltik Box,Kangaskhan Bouffalant,Lucario Hariyama,Mega Absol Box,Mega Venusaur,N's Zoroark,Ogerpon Meganium,Raging Bolt Ogerpon,Rocket's Honchkrow,Rocket's Mewtwo,Tera Box
Grimmsnarl Froslass,56.7708%,46.5116%,58.0153%,55.7522%,37.7049%,29.1667%,63.5135%,54.8851%,76.1905%,52.2727%,35.0877%,61.2903%,52.3179%,64.0000%,49.1150%,45.2055%,50.0000%,43.4783%,32.3529%,40.9639%,50.7246%,41.6084%,37.9747%,55.8442%,45.6522%,45.0292%,51.9231%,64.3678%,44.7368%
Iron Hands Magneton,27.2727%,25.0000%,18.1818%,11.1111%,50.0000%,100.0000%,25.0000%,60.7843%,66.6667%,44.4444%,50.0000%,70.0000%,57.1429%,50.0000%,38.8889%,50.0000%,52.1739%,50.0000%,40.0000%,18.1818%,55.5556%,37.0370%,50.0000%,39.1304%,75.0000%,58.3333%,50.0000%,75.0000%,25.0000%
Joltik Box,44.4444%,47.6190%,48.0000%,60.0000%,7.6923%,33.3333%,42.1053%,49.1228%,81.8182%,37.5000%,66.6667%,67.7966%,52.5000%,57.5758%,40.0000%,45.4545%,63.2353%,60.0000%,50.0000%,20.0000%,57.5758%,60.4651%,55.5556%,64.0449%,86.6667%,60.6061%,48.6486%,54.5455%,73.6842%
Kangaskhan Bouffalant,29.6296%,60.8696%,52.0000%,68.9655%,40.0000%,22.2222%,47.1698%,58.4475%,73.3333%,85.7143%,50.0000%,58.8235%,51.6667%,59.6774%,52.5000%,31.0345%,54.2169%,81.8182%,80.0000%,50.0000%,20.8333%,58.0645%,37.9310%,52.0000%,31.5789%,37.3134%,50.0000%,75.0000%,56.2500%
Lucario Hariyama,34.1176%,54.7619%,46.0000%,46.9388%,43.3333%,53.3333%,29.7297%,47.1338%,56.6667%,39.1304%,40.5405%,53.3333%,16.0714%,24.5614%,32.7434%,53.3333%,49.2754%,44.4444%,42.4242%,79.1667%,50.0000%,56.3636%,31.7073%,52.9762%,44.0000%,50.0000%,46.0000%,32.1429%,14.8936%
Mega Absol Box,54.3750%,40.6250%,49.5798%,45.8824%,38.2979%,51.0638%,46.7153%,55.2066%,52.2727%,48.3146%,61.1111%,59.5588%,52.6316%,59.4828%,50.2183%,41.9355%,55.5944%,62.9630%,37.2093%,37.6344%,41.8182%,50.0000%,42.6667%,44.7099%,34.0909%,31.7647%,52.8736%,44.9275%,55.0725%
Mega Venusaur,46.0317%,27.7778%,48.7805%,42.8571%,42.1053%,82.3529%,45.4545%,35.5422%,58.3333%,42.1053%,27.7778%,26.9841%,43.2432%,34.6939%,35.0000%,28.0000%,62.0253%,50.0000%,40.7407%,62.0690%,68.2927%,54.6667%,50.0000%,57.9439%,65.0000%,56.6667%,47.0588%,40.0000%,64.7059%
N's Zoroark,52.0930%,54.6667%,48.8889%,46.3918%,46.4286%,50.8772%,42.3358%,50.6365%,50.8772%,36.9369%,57.1429%,42.3529%,48.4663%,64.1221%,41.2879%,53.0864%,41.8831%,60.8696%,31.4607%,45.0000%,47.0238%,52.9010%,42.0561%,50.0000%,51.0638%,46.8208%,49.1228%,34.2593%,60.0000%
Ogerpon Meganium,37.5000%,28.5714%,56.2500%,36.8421%,14.2857%,58.3333%,27.2727%,49.5146%,33.3333%,58.8235%,45.4545%,34.3750%,25.0000%,46.6667%,38.8889%,35.2941%,54.3478%,25.0000%,13.3333%,57.8947%,52.0000%,65.9091%,35.0000%,48.9362%,50.0000%,54.1667%,33.3333%,61.5385%,66.6667%
Raging Bolt Ogerpon,34.7826%,52.7778%,38.4615%,35.0877%,41.6667%,57.1429%,49.2063%,46.6321%,66.6667%,50.0000%,45.4545%,54.8780%,41.6667%,35.8974%,47.5862%,52.8302%,51.4620%,41.6667%,39.3939%,61.1940%,50.0000%,62.9412%,41.6667%,52.0231%,45.8333%,50.0000%,45.9459%,63.4146%,38.3333%
Rocket's Honchkrow,68.0851%,76.1905%,38.2353%,45.8333%,92.3077%,42.8571%,41.1765%,37.3984%,52.1739%,21.9512%,61.5385%,51.3158%,40.3846%,37.9310%,59.4937%,21.7391%,48.0769%,50.0000%,48.6486%,50.0000%,54.0000%,45.9770%,52.9412%,50.8772%,61.9048%,54.0541%,50.0000%,62.5000%,59.3750%
Rocket's Mewtwo,80.0000%,44.8276%,34.2105%,42.8571%,60.0000%,73.0769%,56.6667%,48.6364%,62.5000%,29.0323%,50.0000%,28.5714%,15.0000%,35.1351%,28.1250%,50.0000%,33.3333%,25.0000%,45.4545%,21.4286%,67.8571%,53.6232%,60.0000%,64.8148%,38.4615%,36.5854%,37.5000%,50.0000%,52.3810%
Tera Box,45.9459%,53.3333%,41.3793%,51.8519%,40.0000%,64.7059%,35.4839%,47.7707%,42.8571%,35.2941%,50.0000%,32.3529%,44.4444%,51.6129%,36.9231%,75.0000%,52.6316%,75.0000%,26.3158%,43.7500%,78.7234%,44.9275%,35.2941%,37.7778%,33.3333%,60.0000%,40.6250%,47.6190%,50.0000%
