deck_archetype,format,opponent_archetype,total_matches,wins,losses,ties,win_rate
Iron Hands Magneton,ASC Standard 2025,Greninja,6,3,3,0,0.5
Iron Hands Magneton,ASC Standard 2025,Joltik Box,5,2,3,0,0.4
Iron Hands Magneton,ASC Standard 2025,Ogerpon Meganium,4,2,1,1,0.5
Iron Hands Magneton,ASC Standard 2025,Ceruledge,4,1,3,0,0.25
Iron Hands Magneton,ASC Standard 2025,Dragonite Eelektrik,3,2,1,0,0.6666666666666666
Iron Hands Magneton,ASC Standard 2025,Cynthia's Garchomp,2,2,0,0,1.0
Iron Hands Magneton,ASC Standard 2025,Crustle,2,1,1,0,0.5
Ogerpon Meganium,ASC Standard 2025,Dragapult Dusknoir,103,51,52,0,0.49514563106796117
Ogerpon Meganium,ASC Standard 2025,N's Zoroark,47,23,24,0,0.48936170212765956
Ogerpon Meganium,ASC Standard 2025,Grimmsnarl Froslass,46,25,21,0,0.5434782608695652
Ogerpon Meganium,ASC Standard 2025,Mega Absol Box,44,29,15,0,0.6590909090909091
Ogerpon Meganium,ASC Standard 2025,Gholdengo Lunatone,36,14,21,1,0.3888888888888889
Ogerpon Meganium,ASC Standard 2025,Alakazam Dudunsparce,32,12,20,0,0.375
Ogerpon Meganium,ASC Standard 2025,Froslass Munkidori,32,11,21,0,0.34375
Ogerpon Meganium,ASC Standard 2025,Rocket's Mewtwo,26,16,10,0,0.6153846153846154
Ogerpon Meganium,ASC Standard 2025,Lucario Hariyama,25,13,11,1,0.52
Ogerpon Meganium,ASC Standard 2025,Raging Bolt Ogerpon,24,12,11,1,0.5
Ogerpon Meganium,ASC Standard 2025,Rocket's Honchkrow,21,7,13,1,0.3333333333333333
Ogerpon Meganium,ASC Standard 2025,Mega Venusaur,20,7,13,0,0.35
Ogerpon Meganium,ASC Standard 2025,Kangaskhan Bouffalant,19,11,6,2,0.5789473684210527
Ogerpon Meganium,ASC Standard 2025,Charizard Pidgeot,19,7,12,0,0.3684210526315789
Ogerpon Meganium,ASC Standard 2025,Festival Lead,17,10,7,0,0.5882352941176471
Ogerpon Meganium,ASC Standard 2025,Greninja,17,6,11,0,0.35294117647058826
Ogerpon Meganium,ASC Standard 2025,Charizard Noctowl,16,9,7,0,0.5625
Ogerpon Meganium,ASC Standard 2025,Gardevoir Jellicent,15,7,7,1,0.4666666666666667
Ogerpon Meganium,ASC Standard 2025,Joltik Box,15,2,13,0,0.13333333333333333
Ogerpon Meganium,ASC Standard 2025,Ceruledge,14,4,10,0,0.2857142857142857
Ogerpon Meganium,ASC Standard 2025,Tera Box,12,8,4,0,0.6666666666666666
Ogerpon Meganium,ASC Standard 2025,Cynthia's Garchomp,12,7,5,0,0.5833333333333334
Ogerpon Meganium,ASC Standard 2025,Gardevoir,12,3,9,0,0.25
Ogerpon Meganium,ASC Standard 2025,Flareon Noctowl,11,5,6,0,0.45454545454545453
Ogerpon Meganium,ASC Standard 2025,Dragapult Charizard,11,3,8,0,0.2727272727272727
Ogerpon Meganium,ASC Standard 2025,Ogerpon Meganium,8,4,4,0,0.5
Ogerpon Meganium,ASC Standard 2025,Crustle,7,1,5,1,0.14285714285714285
Ogerpon Meganium,ASC Standard 2025,Dragonite Eelektrik,6,2,4,0,0.3333333333333333
Ogerpon Meganium,ASC Standard 2025,Iron Hands Magneton,4,1,2,1,0.25
Crustle,ASC Standard 2025,Dragapult Dusknoir,129,55,68,6,0.4263565891472868
Crustle,ASC Standard 2025,Grimmsnarl Froslass,61,37,23,1,0.6065573770491803
Crustle,ASC Standard 2025,N's Zoroark,56,29,26,1,0.5178571428571429
Crustle,ASC Standard 2025,Gholdengo Lunatone,48,33,15,0,0.6875
Crustle,ASC Standard 2025,Mega Absol Box,47,26,18,3,0.5531914893617021
Crustle,ASC Standard 2025,Lucario Hariyama,30,16,13,1,0.5333333333333333
Crustle,ASC Standard 2025,Froslass Munkidori,28,8,18,2,0.2857142857142857
Crustle,ASC Standard 2025,Gardevoir,28,5,23,0,0.17857142857142858
Crustle,ASC Standard 2025,Dragapult Charizard,26,16,8,2,0.6153846153846154
Crustle,ASC Standard 2025,Charizard Noctowl,25,12,12,1,0.48
Crustle,ASC Standard 2025,Raging Bolt Ogerpon,24,13,10,1,0.5416666666666666
Crustle,ASC Standard 2025,Alakazam Dudunsparce,24,11,13,0,0.4583333333333333
Crustle,ASC Standard 2025,Gardevoir Jellicent,23,2,19,2,0.08695652173913043
Crustle,ASC Standard 2025,Tera Box,20,12,8,0,0.6
Crustle,ASC Standard 2025,Mega Venusaur,19,11,8,0,0.5789473684210527
Crustle,ASC Standard 2025,Charizard Pidgeot,19,7,9,3,0.3684210526315789
Crustle,ASC Standard 2025,Flareon Noctowl,18,17,1,0,0.9444444444444444
Crustle,ASC Standard 2025,Festival Lead,18,3,15,0,0.16666666666666666
Crustle,ASC Standard 2025,Ceruledge,17,13,4,0,0.7647058823529411
Crustle,ASC Standard 2025,Kangaskhan Bouffalant,15,8,6,1,0.5333333333333333
Crustle,ASC Standard 2025,Cynthia's Garchomp,15,7,8,0,0.4666666666666667
Crustle,ASC Standard 2025,Crustle,14,7,7,0,0.5
Crustle,ASC Standard 2025,Joltik Box,13,12,1,0,0.9230769230769231
Crustle,ASC Standard 2025,Rocket's Honchkrow,13,1,12,0,0.07692307692307693
Crustle,ASC Standard 2025,Greninja,12,11,1,0,0.9166666666666666
Crustle,ASC Standard 2025,Rocket's Mewtwo,10,3,6,1,0.3
Crustle,ASC Standard 2025,Dragonite Eelektrik,7,6,0,1,0.8571428571428571
Crustle,ASC Standard 2025,Ogerpon Meganium,7,5,1,1,0.7142857142857143
Crustle,ASC Standard 2025,Iron Hands Magneton,2,1,1,0,0.5
Cynthia's Garchomp,ASC Standard 2025,Dragapult Dusknoir,121,52,68,1,0.4297520661157025
Cynthia's Garchomp,ASC Standard 2025,N's Zoroark,57,28,29,0,0.49122807017543857
Cynthia's Garchomp,ASC Standard 2025,Grimmsnarl Froslass,48,33,14,1,0.6875
Cynthia's Garchomp,ASC Standard 2025,Mega Absol Box,47,21,24,2,0.44680851063829785
Cynthia's Garchomp,ASC Standard 2025,Gholdengo Lunatone,44,18,25,1,0.4090909090909091
Cynthia's Garchomp,ASC Standard 2025,Alakazam Dudunsparce,35,11,23,1,0.3142857142857143
Cynthia's Garchomp,ASC Standard 2025,Lucario Hariyama,30,13,16,1,0.43333333333333335
Cynthia's Garchomp,ASC Standard 2025,Rocket's Mewtwo,26,6,19,1,0.23076923076923078
Cynthia's Garchomp,ASC Standard 2025,Gardevoir Jellicent,25,8,15,2,0.32
Cynthia's Garchomp,ASC Standard 2025,Froslass Munkidori,22,13,9,0,0.5909090909090909
Cynthia's Garchomp,ASC Standard 2025,Rocket's Honchkrow,21,12,9,0,0.5714285714285714
Cynthia's Garchomp,ASC Standard 2025,Raging Bolt Ogerpon,21,9,12,0,0.42857142857142855
Cynthia's Garchomp,ASC Standard 2025,Dragapult Charizard,20,9,9,2,0.45
Cynthia's Garchomp,ASC Standard 2025,Gardevoir,20,5,12,3,0.25
Cynthia's Garchomp,ASC Standard 2025,Charizard Pidgeot,19,11,8,0,0.5789473684210527
Cynthia's Garchomp,ASC Standard 2025,Charizard Noctowl,19,5,14,0,0.2631578947368421
Cynthia's Garchomp,ASC Standard 2025,Tera Box,17,6,11,0,0.35294117647058826
Cynthia's Garchomp,ASC Standard 2025,Mega Venusaur,17,3,14,0,0.17647058823529413
Cynthia's Garchomp,ASC Standard 2025,Crustle,15,8,7,0,0.5333333333333333
Cynthia's Garchomp,ASC Standard 2025,Festival Lead,15,1,14,0,0.06666666666666667
Cynthia's Garchomp,ASC Standard 2025,Ceruledge,13,4,9,0,0.3076923076923077
Cynthia's Garchomp,ASC Standard 2025,Greninja,13,4,9,0,0.3076923076923077
Cynthia's Garchomp,ASC Standard 2025,Ogerpon Meganium,12,5,7,0,0.4166666666666667
Cynthia's Garchomp,ASC Standard 2025,Kangaskhan Bouffalant,9,7,2,0,0.7777777777777778
Cynthia's Garchomp,ASC Standard 2025,Joltik Box,9,6,3,0,0.6666666666666666
Cynthia's Garchomp,ASC Standard 2025,Dragonite Eelektrik,9,2,7,0,0.2222222222222222
Cynthia's Garchomp,ASC Standard 2025,Cynthia's Garchomp,8,4,4,0,0.5
Cynthia's Garchomp,ASC Standard 2025,Flareon Noctowl,8,3,5,0,0.375
Cynthia's Garchomp,ASC Standard 2025,Iron Hands Magneton,2,0,2,0,0.0
Dragonite Eelektrik,ASC Standard 2025,Dragapult Dusknoir,85,30,53,2,0.35294117647058826
Dragonite Eelektrik,ASC Standard 2025,N's Zoroark,57,26,29,2,0.45614035087719296
Dragonite Eelektrik,ASC Standard 2025,Mega Absol Box,44,21,23,0,0.4772727272727273
Dragonite Eelektrik,ASC Standard 2025,Grimmsnarl Froslass,42,10,32,0,0.23809523809523808
Dragonite Eelektrik,ASC Standard 2025,Froslass Munkidori,36,6,30,0,0.16666666666666666
Dragonite Eelektrik,ASC Standard 2025,Gholdengo Lunatone,33,9,24,0,0.2727272727272727
Dragonite Eelektrik,ASC Standard 2025,Lucario Hariyama,30,13,17,0,0.43333333333333335
Dragonite Eelektrik,ASC Standard 2025,Alakazam Dudunsparce,30,10,20,0,0.3333333333333333
Dragonite Eelektrik,ASC Standard 2025,Mega Venusaur,24,9,14,1,0.375
Dragonite Eelektrik,ASC Standard 2025,Rocket's Honchkrow,23,11,12,0,0.4782608695652174
Dragonite Eelektrik,ASC Standard 2025,Dragonite Eelektrik,18,9,9,0,0.5
Dragonite Eelektrik,ASC Standard 2025,Raging Bolt Ogerpon,18,6,12,0,0.3333333333333333
Dragonite Eelektrik,ASC Standard 2025,Charizard Pidgeot,15,7,8,0,0.4666666666666667
Dragonite Eelektrik,ASC Standard 2025,Flareon Noctowl,15,7,8,0,0.4666666666666667
Dragonite Eelektrik,ASC Standard 2025,Festival Lead,15,6,9,0,0.4
Dragonite Eelektrik,ASC Standard 2025,Kangaskhan Bouffalant,15,4,11,0,0.26666666666666666
Dragonite Eelektrik,ASC Standard 2025,Gardevoir,15,4,11,0,0.26666666666666666
Dragonite Eelektrik,ASC Standard 2025,Charizard Noctowl,14,5,9,0,0.35714285714285715
Dragonite Eelektrik,ASC Standard 2025,Greninja,13,3,10,0,0.23076923076923078
Dragonite Eelektrik,ASC Standard 2025,Gardevoir Jellicent,12,5,7,0,0.4166666666666667
Dragonite Eelektrik,ASC Standard 2025,Joltik Box,11,2,9,0,0.18181818181818182
Dragonite Eelektrik,ASC Standard 2025,Cynthia's Garchomp,9,7,2,0,0.7777777777777778
Dragonite Eelektrik,ASC Standard 2025,Ceruledge,9,6,3,0,0.6666666666666666
Dragonite Eelektrik,ASC Standard 2025,Dragapult Charizard,9,4,5,0,0.4444444444444444
Dragonite Eelektrik,ASC Standard 2025,Rocket's Mewtwo,8,3,5,0,0.375
Dragonite Eelektrik,ASC Standard 2025,Tera Box,7,4,3,0,0.5714285714285714
Dragonite Eelektrik,ASC Standard 2025,Crustle,7,0,6,1,0.0
Dragonite Eelektrik,ASC Standard 2025,Ogerpon Meganium,6,4,2,0,0.6666666666666666
Dragonite Eelektrik,ASC Standard 2025,Iron Hands Magneton,3,1,2,0,0.3333333333333333
Flareon Noctowl,ASC Standard 2025,Dragapult Dusknoir,122,39,77,6,0.319672131147541
Flareon Noctowl,ASC Standard 2025,N's Zoroark,77,32,44,1,0.4155844155844156
Flareon Noctowl,ASC Standard 2025,Mega Absol Box,72,24,44,4,0.3333333333333333
Flareon Noctowl,ASC Standard 2025,Grimmsnarl Froslass,57,34,20,3,0.5964912280701754
Flareon Noctowl,ASC Standard 2025,Gholdengo Lunatone,43,22,19,2,0.5116279069767442
Flareon Noctowl,ASC Standard 2025,Alakazam Dudunsparce,40,14,24,2,0.35
Flareon Noctowl,ASC Standard 2025,Lucario Hariyama,37,21,15,1,0.5675675675675675
Flareon Noctowl,ASC Standard 2025,Froslass Munkidori,37,14,22,1,0.3783783783783784
Flareon Noctowl,ASC Standard 2025,Dragapult Charizard,34,14,19,1,0.4117647058823529
Flareon Noctowl,ASC Standard 2025,Gardevoir Jellicent,33,12,20,1,0.36363636363636365
Flareon Noctowl,ASC Standard 2025,Gardevoir,31,10,20,1,0.3225806451612903
Flareon Noctowl,ASC Standard 2025,Festival Lead,29,10,19,0,0.3448275862068966
Flareon Noctowl,ASC Standard 2025,Rocket's Honchkrow,26,9,16,1,0.34615384615384615
Flareon Noctowl,ASC Standard 2025,Charizard Noctowl,25,9,15,1,0.36
Flareon Noctowl,ASC Standard 2025,Charizard Pidgeot,24,6,16,2,0.25
Flareon Noctowl,ASC Standard 2025,Raging Bolt Ogerpon,22,12,10,0,0.5454545454545454
Flareon Noctowl,ASC Standard 2025,Flareon Noctowl,20,9,9,2,0.45
Flareon Noctowl,ASC Standard 2025,Mega Venusaur,18,12,5,1,0.6666666666666666
Flareon Noctowl,ASC Standard 2025,Kangaskhan Bouffalant,18,9,9,0,0.5
Flareon Noctowl,ASC Standard 2025,Joltik Box,18,5,12,1,0.2777777777777778
Flareon Noctowl,ASC Standard 2025,Crustle,18,1,17,0,0.05555555555555555
Flareon Noctowl,ASC Standard 2025,Tera Box,16,8,8,0,0.5
Flareon Noctowl,ASC Standard 2025,Dragonite Eelektrik,15,8,7,0,0.5333333333333333
Flareon Noctowl,ASC Standard 2025,Greninja,15,6,8,1,0.4
Flareon Noctowl,ASC Standard 2025,Rocket's Mewtwo,14,7,7,0,0.5
Flareon Noctowl,ASC Standard 2025,Ceruledge,13,6,6,1,0.46153846153846156
Flareon Noctowl,ASC Standard 2025,Ogerpon Meganium,11,6,5,0,0.5454545454545454
Flareon Noctowl,ASC Standard 2025,Cynthia's Garchomp,8,5,3,0,0.625
Flareon Noctowl,ASC Standard 2025,Iron Hands Magneton,6,3,3,0,0.5
Joltik Box,ASC Standard 2025,Dragapult Dusknoir,171,84,84,3,0.49122807017543857
Joltik Box,ASC Standard 2025,N's Zoroark,89,57,28,4,0.6404494382022472
Joltik Box,ASC Standard 2025,Mega Absol Box,86,52,32,2,0.6046511627906976
Joltik Box,ASC Standard 2025,Grimmsnarl Froslass,68,43,22,3,0.6323529411764706
Joltik Box,ASC Standard 2025,Gholdengo Lunatone,60,24,34,2,0.4
Joltik Box,ASC Standard 2025,Froslass Munkidori,59,40,19,0,0.6779661016949152
Joltik Box,ASC Standard 2025,Alakazam Dudunsparce,45,20,25,0,0.4444444444444444
Joltik Box,ASC Standard 2025,Gardevoir,40,21,17,2,0.525
Joltik Box,ASC Standard 2025,Dragapult Charizard,38,16,22,0,0.42105263157894735
Joltik Box,ASC Standard 2025,Rocket's Honchkrow,37,18,18,1,0.4864864864864865
Joltik Box,ASC Standard 2025,Joltik Box,36,15,15,6,0.4166666666666667
Joltik Box,ASC Standard 2025,Raging Bolt Ogerpon,33,20,13,0,0.6060606060606061
Joltik Box,ASC Standard 2025,Gardevoir Jellicent,33,19,14,0,0.5757575757575758
Joltik Box,ASC Standard 2025,Lucario Hariyama,33,19,14,0,0.5757575757575758
Joltik Box,ASC Standard 2025,Charizard Pidgeot,30,18,11,1,0.6
Joltik Box,ASC Standard 2025,Kangaskhan Bouffalant,30,6,24,0,0.2
Joltik Box,ASC Standard 2025,Mega Venusaur,27,15,11,1,0.5555555555555556
Joltik Box,ASC Standard 2025,Charizard Noctowl,25,12,12,1,0.48
Joltik Box,ASC Standard 2025,Festival Lead,24,9,15,0,0.375
Joltik Box,ASC Standard 2025,Rocket's Mewtwo,22,12,10,0,0.5454545454545454
Joltik Box,ASC Standard 2025,Greninja,22,10,12,0,0.45454545454545453
Joltik Box,ASC Standard 2025,Ceruledge,21,10,10,1,0.47619047619047616
Joltik Box,ASC Standard 2025,Tera Box,19,14,5,0,0.7368421052631579
Joltik Box,ASC Standard 2025,Flareon Noctowl,18,12,5,1,0.6666666666666666
Joltik Box,ASC Standard 2025,Ogerpon Meganium,15,13,2,0,0.8666666666666667
Joltik Box,ASC Standard 2025,Crustle,13,1,12,0,0.07692307692307693
Joltik Box,ASC Standard 2025,Dragonite Eelektrik,11,9,2,0,0.8181818181818182
Joltik Box,ASC Standard 2025,Cynthia's Garchomp,9,3,6,0,0.3333333333333333
Joltik Box,ASC Standard 2025,Iron Hands Magneton,5,3,2,0,0.6
Tera Box,ASC Standard 2025,Dragapult Dusknoir,157,75,80,2,0.47770700636942676
Tera Box,ASC Standard 2025,N's Zoroark,90,34,54,2,0.37777777777777777
Tera Box,ASC Standard 2025,Grimmsnarl Froslass,76,40,34,2,0.5263157894736842
Tera Box,ASC Standard 2025,Mega Absol Box,69,31,38,0,0.4492753623188406
Tera Box,ASC Standard 2025,Gholdengo Lunatone,65,24,39,2,0.36923076923076925
Tera Box,ASC Standard 2025,Raging Bolt Ogerpon,60,36,23,1,0.6
Tera Box,ASC Standard 2025,Lucario Hariyama,47,37,7,3,0.7872340425531915
Tera Box,ASC Standard 2025,Gardevoir,45,20,25,0,0.4444444444444444
Tera Box,ASC Standard 2025,Alakazam Dudunsparce,37,17,19,1,0.4594594594594595
Tera Box,ASC Standard 2025,Froslass Munkidori,34,11,23,0,0.3235294117647059
Tera Box,ASC Standard 2025,Rocket's Honchkrow,32,13,19,0,0.40625
Tera Box,ASC Standard 2025,Gardevoir Jellicent,31,16,15,0,0.5161290322580645
Tera Box,ASC Standard 2025,Dragapult Charizard,31,11,19,1,0.3548387096774194
Tera Box,ASC Standard 2025,Charizard Noctowl,29,12,17,0,0.41379310344827586
Tera Box,ASC Standard 2025,Greninja,28,21,7,0,0.75
Tera Box,ASC Standard 2025,Charizard Pidgeot,27,14,13,0,0.5185185185185185
Tera Box,ASC Standard 2025,Rocket's Mewtwo,21,10,11,0,0.47619047619047616
Tera Box,ASC Standard 2025,Crustle,20,8,12,0,0.4
Tera Box,ASC Standard 2025,Joltik Box,19,5,14,0,0.2631578947368421
Tera Box,ASC Standard 2025,Tera Box,18,8,8,2,0.4444444444444444
Tera Box,ASC Standard 2025,Cynthia's Garchomp,17,11,6,0,0.6470588235294118
Tera Box,ASC Standard 2025,Mega Venusaur,17,6,11,0,0.35294117647058826
Tera Box,ASC Standard 2025,Festival Lead,17,6,11,0,0.35294117647058826
Tera Box,ASC Standard 2025,Flareon Noctowl,16,8,8,0,0.5
Tera Box,ASC Standard 2025,Kangaskhan Bouffalant,16,7,8,1,0.4375
Tera Box,ASC Standard 2025,Ceruledge,15,8,7,0,0.5333333333333333
Tera Box,ASC Standard 2025,Ogerpon Meganium,12,4,8,0,0.3333333333333333
Tera Box,ASC Standard 2025,Iron Hands Magneton,8,6,2,0,0.75
Tera Box,ASC Standard 2025,Dragonite Eelektrik,7,3,4,0,0.42857142857142855
Greninja,ASC Standard 2025,Dragapult Dusknoir,184,87,93,4,0.47282608695652173
Greninja,ASC Standard 2025,N's Zoroark,81,37,43,1,0.4567901234567901
Greninja,ASC Standard 2025,Grimmsnarl Froslass,73,39,33,1,0.5342465753424658
Greninja,ASC Standard 2025,Mega Absol Box,62,33,26,3,0.532258064516129
Greninja,ASC Standard 2025,Gholdengo Lunatone,59,33,24,2,0.559322033898305
Greninja,ASC Standard 2025,Raging Bolt Ogerpon,53,24,28,1,0.4528301886792453
Greninja,ASC Standard 2025,Gardevoir,52,19,31,2,0.36538461538461536
Greninja,ASC Standard 2025,Alakazam Dudunsparce,47,27,19,1,0.574468085106383
Greninja,ASC Standard 2025,Froslass Munkidori,44,21,21,2,0.4772727272727273
Greninja,ASC Standard 2025,Dragapult Charizard,38,25,13,0,0.6578947368421053
Greninja,ASC Standard 2025,Gardevoir Jellicent,38,10,27,1,0.2631578947368421
Greninja,ASC Standard 2025,Greninja,36,17,17,2,0.4722222222222222
Greninja,ASC Standard 2025,Charizard Noctowl,35,13,21,1,0.37142857142857144
Greninja,ASC Standard 2025,Festival Lead,34,19,15,0,0.5588235294117647
Greninja,ASC Standard 2025,Charizard Pidgeot,32,16,16,0,0.5
Greninja,ASC Standard 2025,Lucario Hariyama,30,13,16,1,0.43333333333333335
Greninja,ASC Standard 2025,Kangaskhan Bouffalant,29,20,9,0,0.6896551724137931
Greninja,ASC Standard 2025,Tera Box,28,7,21,0,0.25
Greninja,ASC Standard 2025,Mega Venusaur,25,18,7,0,0.72
Greninja,ASC Standard 2025,Ceruledge,24,12,12,0,0.5
Greninja,ASC Standard 2025,Rocket's Honchkrow,23,18,5,0,0.782608695652174
Greninja,ASC Standard 2025,Joltik Box,22,12,10,0,0.5454545454545454
Greninja,ASC Standard 2025,Rocket's Mewtwo,18,9,9,0,0.5
Greninja,ASC Standard 2025,Ogerpon Meganium,17,11,6,0,0.6470588235294118
Greninja,ASC Standard 2025,Flareon Noctowl,15,8,6,1,0.5333333333333333
Greninja,ASC Standard 2025,Dragonite Eelektrik,13,10,3,0,0.7692307692307693
Greninja,ASC Standard 2025,Cynthia's Garchomp,13,9,4,0,0.6923076923076923
Greninja,ASC Standard 2025,Crustle,12,1,11,0,0.08333333333333333
Greninja,ASC Standard 2025,Iron Hands Magneton,6,3,3,0,0.5
Ceruledge,ASC Standard 2025,Dragapult Dusknoir,184,94,86,4,0.5108695652173914
Ceruledge,ASC Standard 2025,Grimmsnarl Froslass,86,45,40,1,0.5232558139534884
Ceruledge,ASC Standard 2025,N's Zoroark,75,32,41,2,0.4266666666666667
Ceruledge,ASC Standard 2025,Mega Absol Box,64,35,26,3,0.546875
Ceruledge,ASC Standard 2025,Gholdengo Lunatone,64,35,27,2,0.546875
Ceruledge,ASC Standard 2025,Gardevoir,43,18,23,2,0.4186046511627907
Ceruledge,ASC Standard 2025,Lucario Hariyama,42,19,23,0,0.4523809523809524
Ceruledge,ASC Standard 2025,Dragapult Charizard,41,19,21,1,0.4634146341463415
Ceruledge,ASC Standard 2025,Alakazam Dudunsparce,40,13,27,0,0.325
Ceruledge,ASC Standard 2025,Froslass Munkidori,39,21,17,1,0.5384615384615384
Ceruledge,ASC Standard 2025,Raging Bolt Ogerpon,36,17,19,0,0.4722222222222222
Ceruledge,ASC Standard 2025,Gardevoir Jellicent,35,17,18,0,0.4857142857142857
Ceruledge,ASC Standard 2025,Charizard Pidgeot,32,10,16,6,0.3125
Ceruledge,ASC Standard 2025,Rocket's Mewtwo,29,16,13,0,0.5517241379310345
Ceruledge,ASC Standard 2025,Charizard Noctowl,26,7,17,2,0.2692307692307692
Ceruledge,ASC Standard 2025,Greninja,24,12,12,0,0.5
Ceruledge,ASC Standard 2025,Kangaskhan Bouffalant,23,8,14,1,0.34782608695652173
Ceruledge,ASC Standard 2025,Festival Lead,22,5,17,0,0.22727272727272727
Ceruledge,ASC Standard 2025,Joltik Box,21,10,10,1,0.47619047619047616
Ceruledge,ASC Standard 2025,Rocket's Honchkrow,21,5,16,0,0.23809523809523808
Ceruledge,ASC Standard 2025,Mega Venusaur,18,12,5,1,0.6666666666666666
Ceruledge,ASC Standard 2025,Ceruledge,18,9,9,0,0.5
Ceruledge,ASC Standard 2025,Crustle,17,4,13,0,0.23529411764705882
Ceruledge,ASC Standard 2025,Tera Box,15,7,8,0,0.4666666666666667
Ceruledge,ASC Standard 2025,Ogerpon Meganium,14,10,4,0,0.7142857142857143
Ceruledge,ASC Standard 2025,Cynthia's Garchomp,13,9,4,0,0.6923076923076923
Ceruledge,ASC Standard 2025,Flareon Noctowl,13,6,6,1,0.46153846153846156
Ceruledge,ASC Standard 2025,Dragonite Eelektrik,9,3,6,0,0.3333333333333333
Ceruledge,ASC Standard 2025,Iron Hands Magneton,4,3,1,0,0.75
Mega Venusaur,ASC Standard 2025,Dragapult Dusknoir,166,59,103,4,0.35542168674698793
Mega Venusaur,ASC Standard 2025,N's Zoroark,107,62,45,0,0.5794392523364486
Mega Venusaur,ASC Standard 2025,Grimmsnarl Froslass,79,49,30,0,0.620253164556962
Mega Venusaur,ASC Standard 2025,Mega Absol Box,75,41,32,2,0.5466666666666666
Mega Venusaur,ASC Standard 2025,Alakazam Dudunsparce,63,29,34,0,0.4603174603174603
Mega Venusaur,ASC Standard 2025,Froslass Munkidori,63,17,45,1,0.2698412698412698
Mega Venusaur,ASC Standard 2025,Raging Bolt Ogerpon,60,34,25,1,0.5666666666666667
Mega Venusaur,ASC Standard 2025,Gholdengo Lunatone,60,21,38,1,0.35
Mega Venusaur,ASC Standard 2025,Gardevoir Jellicent,49,17,30,2,0.3469387755102041
Mega Venusaur,ASC Standard 2025,Lucario Hariyama,41,28,13,0,0.6829268292682927
Mega Venusaur,ASC Standard 2025,Charizard Noctowl,41,20,21,0,0.4878048780487805
Mega Venusaur,ASC Standard 2025,Rocket's Mewtwo,40,16,24,0,0.4
Mega Venusaur,ASC Standard 2025,Mega Venusaur,38,19,19,0,0.5
Mega Venusaur,ASC Standard 2025,Festival Lead,38,16,22,0,0.42105263157894735
Mega Venusaur,ASC Standard 2025,Gardevoir,37,16,20,1,0.43243243243243246
Mega Venusaur,ASC Standard 2025,Rocket's Honchkrow,34,16,18,0,0.47058823529411764
Mega Venusaur,ASC Standard 2025,Dragapult Charizard,33,15,18,0,0.45454545454545453
Mega Venusaur,ASC Standard 2025,Kangaskhan Bouffalant,29,18,11,0,0.6206896551724138
Mega Venusaur,ASC Standard 2025,Joltik Box,27,11,15,1,0.4074074074074074
Mega Venusaur,ASC Standard 2025,Greninja,25,7,18,0,0.28
Mega Venusaur,ASC Standard 2025,Dragonite Eelektrik,24,14,9,1,0.5833333333333334
Mega Venusaur,ASC Standard 2025,Charizard Pidgeot,21,9,11,1,0.42857142857142855
Mega Venusaur,ASC Standard 2025,Ogerpon Meganium,20,13,7,0,0.65
Mega Venusaur,ASC Standard 2025,Crustle,19,8,11,0,0.42105263157894735
Mega Venusaur,ASC Standard 2025,Ceruledge,18,5,12,1,0.2777777777777778
